"Item", "Link", "Price"
"5x MX CHERRY SWITCES:","https://www.amazon.com/CHERRY-Switch-Mechanical-Keyboard-Switches/dp/B0FYR9X5QH/ref=sr_1_1_sspa?crid=33JTYX58LPTM7&dib=eyJ2IjoiMSJ9.PCDAnD20Ew7EGq_R7kSG-oLPBfNIVvbyqvfxGqoT-HMAI59oF21Ha3_fJtuD31WpG0qoalgVjPSjFRwfWk-nY58jJ5CMIH03mLqi-ynvTFy40FMM-TslmuzsHGC8XtrbYWiLXHkqg6hPx9I1_7wzczXLG7GHJUV3jLSIKB5orIcR0MmLLylEtHKma3GvQ3X11QnRSZvG_Y0SWLrsrCWRTw0xxOzNk7YaGyIVb60OAes.Oc2luwBesff7nyzK16DbSltA1ksuOpbDvXrlqXfyJ_Q&dib_tag=se&keywords=mx%2Bcherry%2Bswitches&qid=1785174142&sprefix=mx%2Bcherry%2Bswitch%2Caps%2C249&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1", "$15"
"1x 128x32 OLED panel (needs to allow for 5v):","https://www.amazon.com/dp/B079BN2J8V?lv=shuf&channelId=500&plpRedirect=mhFallback&th=1", "$8"
"5x Keycaps (Can buy own, or 3d print files are in the CAD folder):","https://www.amazon.com/Elacgap-Profile-switches-Mechanical-Keyboard/dp/B0CQ2Y15Y5/ref=sr_1_3?crid=25LQ0O6A4LS59&dib=eyJ2IjoiMSJ9.kI-TpFTJlC1vh3-C6mJdMk49QrGmYYdecb1MGWJm6VtcAXnQ1xgL6o-MoO3MJS8i0cNepR68ubvJu8Gvr3W0mlb9UkRJ8g1WVhKL3jtihMbSnCAAn18Ifh35RRfzY83cJbSMyMr-erVFgg4oMbQYpSLHuurFXEHRNFWzT3PVpdAwflptbasDPm5uBZvicXGr8ng3hBDI69oozVO8Wp_8iRXMvwPUXeHo_Ro4S7FaWC8.FRYdTGHKAIqNtAVbTnQeqdwB7WtykNfy5Buahhu5s00&dib_tag=se&keywords=mx%2Bkeycaps&qid=1785174064&sprefix=mx%2Bkeycap%2Caps%2C250&sr=8-3&th=1", "$12"
"1x SEEEDUINO XIAO RP2040:","https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Pre-Soldered-p-6334.html", "$4"
"1x Ability to solder:","Please provide yourself", "Free!"
"1x EC11 Push button rotary encoder (the one wihtout the PCB attached):","https://www.amazon.com/QSYZAIL-Rotary-Encoder-Compatible-Arduino/dp/B0G528SYTB/ref=sr_1_1_sspa?crid=3AZT7PHAZHLXS&dib=eyJ2IjoiMSJ9.xX72c26TP4G_xvCvEMx3gG67Rb_cD_Poaz3Assc0SIgYXLg52qRhaAKMjNCYBB1CFqMnXNRIskVs_wErRoCDB_Bo0caI_fU-pV7AC57X4Tg1_jZNGTnNNjj59PKvlTrC7liSjXSrdU8SPOwj4KvMP-U-n-1uZeeDTA5eZFtOXvVLvuD-qZULz0N5Tyz_I8UqKQKkGbQNl1a6XXFFShHdE0AOgNXfYKu5lgFsuYjsQfQ.ElILxEpnxLry4-S5qJ0mlV3c9qDWXpkgIBB7EZkSuUA&dib_tag=se&keywords=ec11+rotary+encoder&qid=1785173998&sprefix=ec11%2Caps%2C266&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1", "$8"
"1x PCB (found in PCB files):","jlcpcb.com", "$4"
"1x UCB-C cable to connect to device:","https://www.amazon.com/Amazon-Basics-Charger-480Mbps-Certified/dp/B01GGKZ2SC/ref=sr_1_1_ffob_sspa?crid=1DSFFGA0JD46N&dib=eyJ2IjoiMSJ9.zDerXzkkcCIibp1gD24_gFhU28r1cNDh3GVo56u2yIHx8vO2bXcQixABPiWtnoZyhP6ftLt4DvJERSDSRt1GQQmAjmx7DHH5vLREO1XXn_Alje9agLyTZIGxO7sOWLT8eeRb6Vb61Ru8YoF3DVr0Exf-YFDRs4QCt8c2N5kbenbieSXKHxI34VtMbPKSqO6jIRBXbeJS_TEuSjYWJP-LyNl9bHpdD6vnxZGSSkxRiBs.kJn1f_t65gt3C2xFjkHGsy4KJK0UwduO8R9h0XFx3nI&dib_tag=se&keywords=c%2Bto%2Bc%2Bcable&qid=1785173971&sprefix=c%2Bto%2Bc%2Bcabl%2Caps%2C254&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1", "$10"
"1x Coding skills (only if you want to customize or make it work for windows):","Please provide yourself", "Free again!"
"1x 3D printer with 1 spool filament:","https://us.store.bambulab.com/products/a1-mini?from=navigation", "$220"
"3x Socket head cap screws SHCS.M316-50:","https://www.mcmaster.com/products/cap-screws/fastener-head-type~socket/?utm_term=socket+head+screws&matchtype=p&campaignid=22434467468&adgroupid=179512468004&location=9192110&gad_source=1&gad_campaignid=22434467468&gbraid=0AAAAACLR9bzJOZOt9iCXNA94BZV6c3SeH&gclid=Cj0KCQjwg5zTBhCLARIsAP2AFU4Gy_y1N_8peh6-0NIq77rD3HDhPujhlOnjsu-5q2jlNVQJ24aVfIgaAirbEALw_wcB&s=m3+x+16mm+socket+head+cap+screws", "$5"
