"Item", "Link", "Price"
"16x choc switches:","https://www.amazon.com/KAILH-Official-Chocolate-Mechanical-Keyboard/dp/B0B3MN1ZLW/ref=sr_1_4?crid=37EMS1A3IJ3PF&dib=eyJ2IjoiMSJ9.0KzLzcNFVXq3R8UxQs4mg4LlSt5zLb2r0B25H9kZxA0Jd7m952GGgbYJ32fkBtAXKeU3q_8sJfqh_AsT7hsJAtr45vmYTXsy9ehDkuqrVO6P2SPu1GhncBWY53yD-DUtAG69fUQY2BmnBuk3014H5mrIiIcuDjL94w4h1NN1MTFYFiiRFQJh_ayvyo_-d8l2zavRfq8XS6g8GxSIozaQ-UF9GAVpYNEucEWzux3Wgzc.F_vyrspZpfh20AoOlbX7tBgJlwU7kN7NCN-1Lp8OcqU&dib_tag=se&keywords=choc%2Bswitches&qid=1787944852&sprefix=choc%2Bswitche%2Caps%2C216&sr=8-4&th=1", "$19"
"1x 128x32 OLED panel (needs to allow for 5v):","https://www.amazon.com/dp/B079BN2J8V?lv=shuf&channelId=500&plpRedirect=mhFallback&th=1", "$8"
"16x Keycaps (Can buy own, or 3d print files are in the CAD folder):","https://www.amazon.com/Chocolate-Mechanical-Keyboard-Transparent-1U-40Pcs/dp/B0CP28G897/ref=sr_1_2?crid=3OHZU525RGFIE&dib=eyJ2IjoiMSJ9.VY2e8iHjgM04aGNy1LxxUSsI6eqC8iGJ-3XtTMQ_Kgjgz-fLm_GlNJQHmz7Zj_ewXfQiKU8IbPiN0QfWGP_QKEI26zBXGbEHpFW466-oJrqI6FF8i7vo8mySgA7HrRj24IcLCQoyvFb3NDxhv_4qcodtnO3oEPKtFrgnkIPtGjdL_PVQoqzWI-KyFN7K3R6VA8wZKBinQt_9SbFDZQwF8NkzqxP505ZJYdSfOfdNz0M.RePaKF_EZRSlpcGVO2KQnQADVOBw05WpoqGYH_HvklY&dib_tag=se&keywords=choc%2Bkeycaps&qid=1787944767&sprefix=choc%2Bkeycap%2Caps%2C243&sr=8-2&th=1", "$23"
"1x SEEEDUINO XIAO RP2040:","https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Pre-Soldered-p-6334.html", "$4"
"1x Ability to solder:","Please provide yourself", "Free!"
"1x PCB (found in PCB files, it is the zip file):","jlcpcb.com", "$4"
"1x UCB-C cable to connect to device:","https://www.amazon.com/Amazon-Basics-Charger-480Mbps-Certified/dp/B01GGKZ2SC/ref=sr_1_1_ffob_sspa?crid=1DSFFGA0JD46N&dib=eyJ2IjoiMSJ9.zDerXzkkcCIibp1gD24_gFhU28r1cNDh3GVo56u2yIHx8vO2bXcQixABPiWtnoZyhP6ftLt4DvJERSDSRt1GQQmAjmx7DHH5vLREO1XXn_Alje9agLyTZIGxO7sOWLT8eeRb6Vb61Ru8YoF3DVr0Exf-YFDRs4QCt8c2N5kbenbieSXKHxI34VtMbPKSqO6jIRBXbeJS_TEuSjYWJP-LyNl9bHpdD6vnxZGSSkxRiBs.kJn1f_t65gt3C2xFjkHGsy4KJK0UwduO8R9h0XFx3nI&dib_tag=se&keywords=c%2Bto%2Bc%2Bcable&qid=1785173971&sprefix=c%2Bto%2Bc%2Bcabl%2Caps%2C254&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1", "$10"
"1x Coding skills (only if you want to customize):","Please provide yourself", "Free again!"
"1x 3D printer with 1 spool filament:","https://us.store.bambulab.com/products/a1-mini?from=navigation", "$220"
"2x Socket head cap screws SHCS.M316-50:","https://www.mcmaster.com/products/cap-screws/fastener-head-type~socket/?utm_term=socket+head+screws&matchtype=p&campaignid=22434467468&adgroupid=179512468004&location=9192110&gad_source=1&gad_campaignid=22434467468&gbraid=0AAAAACLR9bzJOZOt9iCXNA94BZV6c3SeH&gclid=Cj0KCQjwg5zTBhCLARIsAP2AFU4Gy_y1N_8peh6-0NIq77rD3HDhPujhlOnjsu-5q2jlNVQJ24aVfIgaAirbEALw_wcB&s=m3+x+16mm+socket+head+cap+screws", "$5"
